Ypos,Zpos,Scan_min,Ext_y_min,Ext_z_min
33.75,37.0,0.27491691101746,60.0,100.0
33.75,37.25,0.31406486200787,60.0,110.0
33.75,37.5,0.34962058497486,70.0,110.0
33.75,37.75,0.18047590265996,70.0,120.0
33.75,38.0,0.20115781311658,70.0,130.0
33.75,38.25,0.21449707786884,70.0,130.0
33.75,38.5,0.25672505001128,80.0,120.0
33.75,38.75,0.24975509354014,70.0,100.0
34.0,31.25,0.1820097707096,80.0,-100.0
34.0,31.5,0.20102006974653,80.0,-120.0
34.0,31.75,0.046217070188282,80.0,-120.0
34.0,32.0,0.27460975464867,80.0,-120.0
34.0,32.25,0.14547862809564,70.0,-110.0
34.0,32.5,0.2246056888892,70.0,-100.0
34.0,32.75,0.35166984692488,70.0,-90.0
34.0,33.0,0.33340695305942,60.0,-90.0
34.0,33.25,0.28632702317939,60.0,-80.0
34.0,33.5,0.24401279235101,60.0,-60.0
34.0,33.75,0.227508956414,60.0,-50.0
34.0,34.0,0.26143281927786,60.0,-40.0
34.0,34.25,0.20668468060242,50.0,-30.0
34.0,34.5,0.15789478626887,50.0,-20.0
34.0,34.75,0.18975067886786,50.0,-10.0
34.0,35.0,0.27537482586129,50.0,0.0
34.0,35.25,0.18949434060053,50.0,20.0
34.0,35.5,0.11390077480771,50.0,30.0
34.0,35.75,0.12281231641989,50.0,40.0
34.0,36.0,0.17583787134305,50.0,50.0
34.0,36.25,0.23973558880326,50.0,60.0
34.0,36.5,0.29176331778671,50.0,70.0
34.0,36.75,0.29569445470692,50.0,90.0
34.0,37.0,0.26440818800924,50.0,100.0
34.0,37.25,0.2656926603297,50.0,110.0
34.0,37.5,0.2582789586522,50.0,110.0
34.0,37.75,0.12113650863011,50.0,120.0
34.0,38.0,0.21947041341775,50.0,130.0
34.0,38.25,0.2605946058987,50.0,130.0
34.0,38.5,0.29920677846219,60.0,130.0
34.0,38.75,0.11052784748342,60.0,110.0
34.25,31.25,0.28340364218031,70.0,-110.0
34.25,31.5,0.24489119621028,60.0,-120.0
34.25,31.75,0.16231309115074,60.0,-120.0
34.25,32.0,0.079590315730364,60.0,-120.0
34.25,32.25,0.30635980574663,60.0,-110.0
34.25,32.5,0.28631065133339,50.0,-110.0
34.25,32.75,0.18103488344471,50.0,-100.0
34.25,33.0,0.19358688715332,50.0,-90.0
34.25,33.25,0.27418080715937,50.0,-80.0
34.25,33.5,0.33961839014286,40.0,-70.0
34.25,33.75,0.30658785656249,40.0,-50.0
34.25,34.0,0.19500635349738,40.0,-40.0
34.25,34.25,0.10186521532059,40.0,-30.0
34.25,34.5,0.081774108578121,40.0,-20.0
34.25,34.75,0.17401595640716,40.0,-10.0
34.25,35.0,0.28486362201363,40.0,0.0
34.25,35.25,0.35265594050487,40.0,20.0
34.25,35.5,0.27590647182487,30.0,30.0
34.25,35.75,0.18604939085274,30.0,40.0
34.25,36.0,0.14899023683606,30.0,50.0
34.25,36.25,0.18006116696575,30.0,60.0
34.25,36.5,0.23487317756012,30.0,70.0
34.25,36.75,0.27252728255791,30.0,80.0
34.25,37.0,0.29711926638709,30.0,90.0
34.25,37.25,0.2962767813259,30.0,100.0
34.25,37.5,0.27124701106124,30.0,110.0
34.25,37.75,0.23184448840429,30.0,120.0
34.25,38.0,0.29479664811143,40.0,130.0
34.25,38.25,0.17206879092651,40.0,130.0
34.25,38.5,0.21262242208788,40.0,130.0
34.25,38.75,0.12461826567867,40.0,110.0
34.5,31.25,0.16029755877676,50.0,-110.0
34.5,31.5,0.26417899100601,50.0,-120.0
34.5,31.75,0.37066337018739,40.0,-120.0
34.5,32.0,0.15012728900316,40.0,-120.0
34.5,32.25,0.25716435535239,40.0,-120.0
34.5,32.5,0.19195640240016,40.0,-110.0
34.5,32.75,0.26017861545638,40.0,-100.0
34.5,33.0,0.20749402337246,30.0,-90.0
34.5,33.25,0.13682192186693,30.0,-80.0
34.5,33.5,0.15546042881299,30.0,-70.0
34.5,33.75,0.22493408473259,30.0,-60.0
34.5,34.0,0.29149911899258,30.0,-40.0
34.5,34.25,0.26504408460322,30.0,-30.0
34.5,34.5,0.26113239802805,30.0,-20.0
34.5,34.75,0.21085667845381,20.0,-10.0
34.5,35.0,0.20401411974455,20.0,0.0
34.5,35.25,0.26310293607277,20.0,10.0
34.5,35.5,0.22319353353185,20.0,30.0
34.5,35.75,0.11507504614602,20.0,40.0
34.5,36.0,0.047119510591281,20.0,50.0
34.5,36.25,0.092280043863344,20.0,60.0
34.5,36.5,0.16320489457454,20.0,70.0
34.5,36.75,0.2331383075457,20.0,80.0
34.5,37.0,0.25916536705577,20.0,90.0
34.5,37.25,0.26657116708029,20.0,100.0
34.5,37.5,0.21936743521653,20.0,110.0
34.5,37.75,0.12232021483774,20.0,120.0
34.5,38.0,0.19099996664129,20.0,130.0
34.5,38.25,0.053187245460679,20.0,130.0
34.5,38.5,0.12468970392258,20.0,130.0
34.5,38.75,0.30460177612084,20.0,120.0
34.75,31.25,0.23799488437616,30.0,-110.0
34.75,31.5,0.3031444482901,30.0,-130.0
34.75,31.75,0.29060685861373,30.0,-130.0
34.75,32.0,0.3194119774562,30.0,-120.0
34.75,32.25,0.23710579429946,20.0,-120.0
34.75,32.5,0.10085470947863,20.0,-110.0
34.75,32.75,0.0058839247558466,20.0,-100.0
34.75,33.0,0.056123050114847,20.0,-90.0
34.75,33.25,0.1357150182831,20.0,-80.0
34.75,33.5,0.19738190732384,20.0,-70.0
34.75,33.75,0.29274901856372,20.0,-60.0
34.75,34.0,0.30002817007964,10.0,-50.0
34.75,34.25,0.27675323353534,10.0,-30.0
34.75,34.5,0.16318062845842,10.0,-20.0
34.75,34.75,0.045227076559321,10.0,-10.0
34.75,35.0,0.075949258630594,10.0,0.0
