Ypos,Zpos,Scan_min,Sel_x_min,Sel_z_min
34.0,31.5,0.57996872641708,7.5,-32.5
34.0,31.75,0.51446938937668,7.5,-27.5
34.0,32.0,0.48605881512279,7.5,-22.5
34.0,32.25,0.58387174747437,5.0,-17.5
34.0,32.5,0.52880686008298,5.0,-12.5
34.0,32.75,0.31027455305979,5.0,-10.0
34.0,33.0,0.57616311538021,5.0,-7.5
34.0,33.25,0.58047733601601,5.0,-5.0
34.0,33.5,0.34967147420144,5.0,-2.5
34.0,33.75,0.69523344201462,5.0,0.0
34.0,34.0,0.52379247394618,2.5,0.0
34.0,34.25,0.41734642885103,2.5,0.0
34.0,34.5,0.39710695339552,2.5,0.0
34.0,34.75,0.38931864491867,2.5,0.0
34.0,35.0,0.43460529329497,2.5,0.0
34.0,35.25,0.53102057391479,2.5,0.0
34.0,35.5,0.60216418808752,2.5,0.0
34.0,35.75,0.61507357231244,2.5,0.0
34.0,36.0,0.59172466216003,2.5,0.0
34.0,36.25,0.45555534035701,5.0,0.0
34.0,36.5,0.60827183617696,5.0,2.5
34.0,36.75,0.26658471901574,5.0,2.5
34.0,37.0,0.54592902355153,5.0,5.0
34.0,37.25,0.55355326444286,7.5,7.5
34.0,37.5,0.32890573023826,7.5,12.5
34.0,37.75,0.41965993773785,10.0,17.5
34.0,38.0,0.63570393880868,10.0,22.5
34.0,38.25,0.5160995084552,12.5,27.5
34.0,38.5,0.44619707984339,15.0,30.0
34.0,38.75,0.21486248536661,15.0,25.0
34.25,31.25,0.66158710066704,7.5,-30.0
34.25,31.5,0.46032798758087,5.0,-32.5
34.25,31.75,0.026900104951968,5.0,-27.5
34.25,32.0,0.16802438433077,5.0,-22.5
34.25,32.25,0.33621576588114,5.0,-17.5
34.25,32.5,0.41101790541257,5.0,-12.5
34.25,32.75,0.79580034344948,5.0,-7.5
34.25,33.0,0.66901473241992,2.5,-5.0
34.25,33.25,0.61524569266984,2.5,-2.5
34.25,33.5,0.55339520162136,2.5,-2.5
34.25,33.75,0.41143043279112,2.5,0.0
34.25,34.0,0.1520518403837,2.5,0.0
34.25,34.25,0.12945666517486,2.5,0.0
34.25,34.5,0.090956296265966,2.5,0.0
34.25,34.75,0.087327044165261,2.5,0.0
34.25,35.0,0.24369268826829,2.5,0.0
34.25,35.25,0.41238768352403,2.5,0.0
34.25,35.5,0.52449802844863,2.5,0.0
34.25,35.75,0.55494264676312,2.5,0.0
34.25,36.0,0.44570267485176,2.5,0.0
